Name,Role,Avatar,Bio,IsSpotlight
Tommy Kassim,Celeros Flow Technology,https://fluidhandlingpro.com/wp-content/uploads/2021/07/Tommy_Kassem_07-21.jpg,Chief Commercial Officer,TRUE
Arun Karupaiah,Celeros Flow Technology,,Product Manager - M&J,FALSE
Tommy Kassim,Celeros Flow Technology,https://fluidhandlingpro.com/wp-content/uploads/2021/07/Tommy_Kassem_07-21.jpg,Chief Commercial Officer,FALSE
Fabiana Fionda,Celeros Flow Technology,https://media.licdn.com/dms/image/v2/D4E03AQEsojYtfL8reQ/profile-displayphoto-scale_400_400/B4EZlO29VbIUAg-/0/1757964655199?e=1773878400&v=beta&t=VNvARLGPP5DWVuKveGgyFkhA3FVyNlxf-bPX86vW4NI,Marketing Lead,FALSE
Brijesh Gajjar,Celeros Flow Technology,https://dxvwjyffixxdv.cloudfront.net/images/servicecenters/Ken-Picture-2.jpg,Research Engineering Manager,FALSE
Mohammed Umair Siddiqui,Celeros Flow Technology,,Sales Director - Valves & Closures,FALSE
Bob Wert,Celeros Flow Technology,,Manager Sales Administration,TRUE
Mark Lewandowski,Celeros Flow Technology,,Engineering Manager,TRUE
Raul Almazan,Celeros Flow Technology,https://media.licdn.com/dms/image/v2/D5603AQFK_fN689PStQ/profile-displayphoto-shrink_800_800/B56ZXaoThLGcAc-/0/1743129754275?e=1773878400&v=beta&t=6nhmraa_Tu3mo1FzO1_KVNMKqKqUhAhfuAOCmtNoKfA,Director of Engineering,TRUE
Roberto Guerra,Celeros Flow Technology,,Aftermarket Service Engineering Lead,FALSE
David Dare,Celeros Flow Technology,,Service Manager,FALSE
David Young,Celeros Flow Technology,https://www.thevalve.pro/assets/images/david-young-hero.png,Aftermarket Service Development Director,TRUE
Sergio Moscon,Celeros Flow Technology,,Global Commercial Operations Lead,FALSE
,,,,
,,,,
,,,,
,,,,
,,,,
Raul Almazan / Brijesh Gajjar / Mohammed Umair Siddiqui,,,,